Crowding Distance;Front;ID;Maximized mutation Score;Minimized mutation Score;Num Inputs;Num Tests;Tests
0.14378928940876895;1;0;0.10119999999999996;0.8988;180.0;31.0;[16, 59, 67, 33, 54, 62, 8, 71, 56, 32, 69, 70, 66, 31, 37, 72, 14, 41, 44, 34, 68, 38, 11, 2, 18, 78, 61, 4, 7, 57, 55]
0.25127814912071267;1;0;0.13239999999999996;0.8676;235.0;43.0;[54, 32, 17, 42, 65, 52, 43, 67, 50, 64, 29, 13, 26, 6, 75, 79, 25, 44, 49, 8, 7, 69, 15, 34, 39, 66, 78, 24, 56, 47, 23, 60, 20, 73, 19, 45, 76, 4, 68, 21, 36, 3, 53]
0.1785678761836555;1;0;0.06869999999999998;0.9313;134.0;21.0;[69, 35, 49, 23, 16, 58, 51, 39, 2, 42, 53, 0, 56, 13, 37, 57, 15, 48, 55, 12, 11]
0.1971460115225498;2;0;0.09240000000000004;0.9076;156.0;31.0;[27, 24, 68, 51, 44, 77, 19, 57, 42, 72, 71, 79, 11, 26, 16, 76, 8, 35, 29, 73, 75, 52, 67, 63, 43, 37, 17, 49, 32, 60, 22]
0.16921524834395155;2;0;0.04620000000000002;0.9538;87.0;18.0;[75, 79, 63, 64, 4, 52, 65, 33, 23, 50, 66, 56, 45, 15, 44, 36, 12, 42]
1.7976931348623157E308;2;0;0.13239999999999996;0.8676;245.0;50.0;[2, 6, 66, 8, 64, 33, 45, 26, 38, 40, 18, 77, 67, 19, 0, 35, 15, 24, 46, 69, 50, 54, 11, 14, 61, 56, 79, 25, 1, 22, 49, 78, 34, 65, 55, 62, 20, 68, 29, 27, 4, 37, 16, 3, 60, 42, 71, 52, 39, 51]
0.07641938021877624;2;0;0.04369999999999996;0.9563;85.0;17.0;[47, 44, 76, 24, 50, 49, 48, 20, 8, 34, 56, 32, 3, 16, 43, 75, 42]
0.42571254536686876;2;0;0.10870000000000002;0.8913;190.0;39.0;[6, 54, 26, 14, 61, 27, 37, 45, 70, 41, 44, 5, 25, 9, 78, 59, 21, 1, 22, 74, 62, 38, 66, 17, 60, 75, 7, 40, 18, 42, 4, 56, 0, 28, 76, 8, 19, 34, 24]
0.20934113347376931;2;0;0.057499999999999996;0.9425;107.0;16.0;[73, 29, 57, 65, 51, 69, 15, 36, 46, 78, 8, 45, 43, 26, 52, 53]
0.4326857186365832;2;0;0.07750000000000001;0.9225;142.0;26.0;[46, 32, 21, 12, 52, 30, 49, 33, 0, 47, 71, 60, 77, 3, 17, 8, 22, 13, 76, 10, 23, 34, 41, 6, 64, 25]
0.23953706758711688;2;0;0.050000000000000044;0.95;102.0;20.0;[49, 59, 57, 77, 33, 41, 78, 7, 61, 10, 79, 50, 34, 75, 27, 67, 14, 9, 16, 52]
0.5819839597979741;2;0;0.11119999999999997;0.8888;205.0;41.0;[6, 35, 68, 42, 20, 18, 58, 64, 9, 3, 24, 29, 31, 59, 74, 49, 47, 19, 78, 73, 4, 22, 38, 26, 65, 63, 37, 7, 79, 25, 60, 27, 62, 36, 45, 12, 23, 17, 0, 71, 72]
0.37693205756199066;2;0;0.09489999999999998;0.9051;163.0;30.0;[47, 17, 28, 19, 23, 68, 18, 30, 20, 64, 0, 15, 79, 3, 57, 50, 35, 10, 51, 56, 6, 48, 49, 71, 66, 31, 27, 11, 24, 74]
0.2404126798812216;2;0;0.08240000000000003;0.9176;152.0;27.0;[24, 39, 58, 77, 57, 68, 66, 78, 45, 29, 42, 71, 20, 34, 6, 73, 1, 64, 25, 26, 76, 48, 12, 62, 2, 11, 70]
0.10139336565061763;2;0;0.041200000000000014;0.9588;83.0;14.0;[71, 28, 1, 72, 67, 69, 52, 39, 43, 8, 58, 21, 79, 29]
0.4215311794116903;2;0;0.0625;0.9375;115.0;23.0;[39, 19, 11, 13, 55, 75, 70, 20, 38, 48, 23, 4, 32, 28, 43, 0, 41, 29, 40, 21, 69, 22, 17]
1.7976931348623157E308;2;0;0.0363;0.9637;81.0;12.0;[22, 51, 11, 3, 30, 71, 25, 64, 15, 53, 76, 17]
0.6139408379787812;3;0;0.04500000000000004;0.955;88.0;16.0;[47, 73, 8, 25, 7, 19, 35, 4, 71, 66, 77, 75, 23, 68, 40, 55]
1.7976931348623157E308;3;0;0.038799999999999946;0.9612;86.0;15.0;[61, 30, 11, 9, 29, 51, 6, 15, 53, 27, 8, 25, 1, 18, 48]
1.670562848408558;3;0;0.057499999999999996;0.9425;108.0;21.0;[75, 19, 76, 65, 31, 57, 22, 46, 30, 51, 34, 45, 74, 54, 16, 78, 35, 28, 52, 0, 67]
1.7976931348623157E308;3;0;0.09240000000000004;0.9076;169.0;27.0;[45, 69, 66, 21, 61, 74, 15, 14, 71, 67, 20, 76, 44, 39, 5, 64, 3, 41, 73, 17, 50, 34, 65, 31, 37, 56, 63]
1.386059162021219;3;0;0.08740000000000003;0.9126;161.0;31.0;[61, 24, 32, 28, 72, 38, 34, 9, 41, 71, 25, 3, 5, 53, 44, 11, 74, 55, 69, 31, 1, 51, 18, 27, 77, 23, 42, 15, 70, 45, 57]
1.7976931348623157E308;4;0;0.05620000000000003;0.9438;115.0;23.0;[13, 5, 1, 14, 64, 55, 27, 57, 10, 61, 33, 8, 77, 69, 26, 47, 75, 0, 21, 19, 71, 40, 52]

